+------------------------------+-----------------+---------------+--------------+-----------+--------------------------+-----------------------------+----------------------+-------------------------+---------------+--------------------------+----------------------------+
|          model_type          | comprehensionQA | fact_reasonQA | fact_truthQA | beliefQAs | infoAccessibilityQA_list | infoAccessibilityQAs_binary | answerabilityQA_list | answerabilityQAs_binary | lieabilityQAs | liedetectabilityQAs_list | liedetectabilityQAs_binary |
|    Qwen2.5-72B-Instruct-4    |      43.75      |     93.75     |    63.64     |   52.78   |           3.70           |            76.54            |        37.04         |          65.43          |     70.37     |           6.25           |           52.08            |
|  Qwen2.5-72B-Instruct-cot-0  |      16.67      |     97.22     |    50.00     |   63.36   |          18.97           |            61.69            |        24.14         |          71.84          |     62.82     |           5.56           |           65.74            |
|  Qwen2.5-72B-Instruct-cot-1  |      88.89      |     100.00    |    20.00     |   72.62   |           0.00           |            75.00            |        35.71         |          80.95          |     75.00     |          22.22           |           62.96            |
|  Qwen2.5-72B-Instruct-cot-2  |      57.14      |     100.00    |    75.00     |   59.85   |           9.09           |            63.64            |        27.27         |          57.58          |     27.27     |           0.00           |           61.90            |
|  Qwen2.5-72B-Instruct-cot-3  |      37.50      |     100.00    |    43.75     |   65.10   |          21.88           |            71.11            |        43.75         |          63.54          |     55.26     |           0.00           |           39.58            |
|  Qwen2.5-72B-Instruct-cot-4  |      37.50      |     87.50     |    63.64     |   63.27   |           3.70           |            74.07            |        44.44         |          59.26          |     66.67     |           0.00           |           60.42            |
|     gpt-4o-2024-08-06-0      |      41.67      |     100.00    |    86.36     |   62.36   |          34.48           |            75.97            |        62.07         |          71.84          |     60.26     |          36.11           |           51.85            |
|     gpt-4o-2024-08-06-1      |      100.00     |     100.00    |    80.00     |   67.86   |          50.00           |            75.00            |        78.57         |          83.33          |     82.14     |          66.67           |           55.56            |
|     gpt-4o-2024-08-06-2      |      85.71      |     100.00    |    50.00     |   56.06   |          54.55           |            68.18            |        72.73         |          54.55          |     36.36     |          28.57           |           38.10            |
|     gpt-4o-2024-08-06-3      |      43.75      |     100.00    |    68.75     |   57.03   |          65.62           |            73.33            |        65.62         |          61.46          |     31.58     |          25.00           |           33.33            |
|     gpt-4o-2024-08-06-4      |      56.25      |     93.75     |    100.00    |   64.20   |          18.52           |            72.84            |        62.96         |          69.14          |     100.00    |          18.75           |           39.58            |
|   gpt-4o-2024-08-06-cot-0    |      72.22      |     100.00    |    63.64     |   74.86   |          20.69           |            88.96            |        15.52         |          82.76          |     61.54     |          13.89           |           62.04            |
|   gpt-4o-2024-08-06-cot-1    |      100.00     |     88.89     |    60.00     |   75.00   |           7.14           |            78.57            |        28.57         |          88.10          |     64.29     |          11.11           |           62.96            |
|   gpt-4o-2024-08-06-cot-2    |      85.71      |     85.71     |    50.00     |   59.09   |          18.18           |            68.18            |         9.09         |          63.64          |     36.36     |           0.00           |           38.10            |
|   gpt-4o-2024-08-06-cot-3    |      56.25      |     100.00    |    62.50     |   70.05   |           3.12           |            72.22            |        18.75         |          75.00          |     18.42     |           0.00           |           41.67            |
|   gpt-4o-2024-08-06-cot-4    |      62.50      |     93.75     |    81.82     |   75.93   |          14.81           |            82.72            |        25.93         |          77.78          |     88.89     |           0.00           |           52.08            |
|       o1-2024-12-17-0        |      30.56      |     50.00     |    31.82     |   31.18   |          36.21           |            48.70            |        39.66         |          41.38          |     34.62     |           8.33           |           36.11            |
|       o1-2024-12-17-1        |      100.00     |     100.00    |    80.00     |   67.26   |          42.86           |            71.43            |        50.00         |          90.48          |     92.86     |           0.00           |           100.00           |
|       o1-2024-12-17-2        |      100.00     |     85.71     |    75.00     |   52.27   |          36.36           |            59.09            |        45.45         |          60.61          |     36.36     |           0.00           |           66.67            |
|       o1-2024-12-17-3        |      25.00      |     50.00     |    37.50     |   23.96   |          12.50           |            34.44            |        15.62         |          40.62          |      7.89     |           0.00           |           16.67            |
|       o1-2024-12-17-4        |      31.25      |     93.75     |    90.91     |   61.73   |          62.96           |            90.12            |        66.67         |          76.54          |     74.07     |           6.25           |           70.83            |
|     o3-mini-2025-01-31-0     |      16.67      |     97.22     |    59.09     |   51.87   |          27.59           |            68.83            |        51.72         |          74.14          |     38.46     |          30.56           |           71.30            |
|     o3-mini-2025-01-31-1     |      88.89      |     100.00    |    40.00     |   58.93   |          35.71           |            64.29            |        64.29         |          78.57          |     75.00     |          44.44           |           55.56            |
|     o3-mini-2025-01-31-2     |      85.71      |     57.14     |    50.00     |   50.76   |          18.18           |            45.45            |        36.36         |          51.52          |     45.45     |          14.29           |           33.33            |
|     o3-mini-2025-01-31-3     |       6.25      |     100.00    |    56.25     |   53.65   |          43.75           |            70.00            |        53.12         |          65.62          |     34.21     |          12.50           |           33.33            |
|     o3-mini-2025-01-31-4     |      12.50      |     93.75     |    45.45     |   52.16   |          18.52           |            71.60            |        55.56         |          67.90          |     25.93     |           0.00           |           52.08            |
+------------------------------+-----------------+---------------+--------------+-----------+--------------------------+-----------------------------+----------------------+-------------------------+---------------+--------------------------+----------------------------+
